FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
19169	崁子厝	崁	17.54 	116.10 	388.64 	27.96 	12.41 	0.48 	11
23609	崁仔下	崁	17.83 	39.43 	409.44 	1.22 	148.75 	0.23 	12
15161	崩崁腳	崁	17.85 	1180.34 	598.07 	6.31 	14.64 	0.13 	73
4359	二層崁	崁	18.27 	24.75 	1568.43 	6.08 	409.73 	0.08 	114
25354	八崁仔	崁	18.78 	78.01 	365.28 	15.02 	262.34 	0.01 	104
24351	崁仔頭	崁	19.45 	53.27 	334.56 	0.95 	24.33 	0.03 	11
4886	二崁仔	崁	19.51 	7459.79 	265.48 	22.16 	507.32 	0.40 	21
23607	崁仔頭	崁	19.93 	95.91 	366.80 	0.52 	6.82 	0.02 	12
11515	海崁	崁	20.39 	56.92 	798.13 	9.90 	151.70 	0.03 	69
3963	崁下	崁	21.09 	268.62 	277.32 	3.78 	9.95 	0.01 	21
8645	崁仔腳	崁	21.58 	4981.75 	464.05 	5.74 	211.48 	0.23 	65
23538	崁仔腳	崁	22.89 	475.93 	247.80 	30.89 	104.56 	0.02 	46
32475	赤崁	崁	23.04 	74.73 	195.89 	14.31 	22.57 	0.27 	48
23037	崁腳	崁	23.37 	41.08 	442.62 	1.08 	250.34 	0.48 	15
20137	下崁頭厝	崁	23.93 	592.74 	442.06 	22.60 	73.48 	0.03 	10
41100	崁子腳	崁	24.04 	57.03 	396.66 	16.05 	319.23 	0.01 	103
32024	崁頭厝	崁	25.32 	2299.47 	271.12 	1.14 	4.92 	0.00 	8
2902	十崁仔	崁	25.33 	3903.99 	928.86 	16.52 	55.48 	0.48 	15
19183	崁頭厝	崁	25.38 	51.24 	717.15 	1.07 	127.23 	0.01 	8
36466	崁仔腳	崁	25.74 	12.08 	168.98 	1.29 	190.18 	0.29 	13
29509	崁仔腳	崁	25.77 	85.62 	680.68 	3.19 	135.64 	0.03 	94
7885	崁仔腳	崁	26.42 	89.70 	487.61 	16.42 	321.39 	0.26 	85
39066	下崁	崁	27.31 	14.37 	213.90 	7.63 	33.64 	0.44 	9
4723	六崁仔	崁	27.74 	11641.19 	1073.17 	13.91 	107.39 	0.05 	9
4728	六崁仔	崁	27.94 	64.45 	245.85 	0.78 	58.31 	0.23 	11
