FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
30542	¤¤§|	§|	57.0 	82.1 	0.0 	550.1 	38.1 	10.7 	56.1 	0.2 	0.0 	20.6 
30543	§|¥J¤º	§|	68.0 	59.5 	0.0 	373.4 	451.0 	10.4 	67.1 	0.2 	0.0 	22.8 
30693	°¨ªL§|	§|	100.0 	222.4 	89.4 	595.2 	36.6 	13.1 	119.0 	0.2 	0.0 	46.7 
30715	?Þì§|	§|	121.0 	48.7 	0.0 	205.8 	8037.5 	5.9 	97.9 	0.1 	0.0 	15.4 
30737	ªê§Î§|	§|	96.0 	53.5 	120.0 	550.9 	19.7 	7.6 	89.1 	0.1 	4.0 	24.5 
30769	§|¤f	§|	44.0 	55.0 	0.0 	255.8 	71.2 	5.2 	51.0 	0.1 	0.0 	14.8 
30772	¤¤§|	§|	70.0 	88.9 	0.0 	387.4 	60.4 	9.9 	87.3 	0.2 	0.0 	21.5 
30840	¤j«C§|	§|	183.0 	210.8 	368.8 	897.8 	27.1 	19.7 	200.7 	0.3 	0.0 	88.3 
30904	±d»¢§|	§|	298.0 	239.7 	0.0 	340.7 	64.8 	25.5 	299.1 	0.4 	0.0 	148.6 
30921	¤U¤T¤e§|	§|	210.0 	550.3 	0.0 	218.4 	213.8 	22.9 	202.8 	0.4 	0.0 	67.3 
30969	½Þ¥À§|ÉÜ	§|	6.0 	20.8 	256.1 	631.6 	11.1 	0.8 	6.4 	0.0 	1.0 	4.5 
31036	¯Q¶î§|	§|	209.0 	333.6 	466.5 	910.2 	20.7 	23.8 	241.9 	0.4 	88.0 	190.9 
31066	¯W¤l§|	§|	77.0 	52.4 	0.0 	374.9 	45.1 	14.1 	78.4 	0.2 	0.0 	21.9 
31072	¤U¤f§|	§|	137.0 	93.9 	0.0 	195.2 	107.4 	17.5 	142.8 	0.3 	0.0 	39.2 
31075	¤U¤j§|	§|	149.0 	193.9 	312.4 	603.7 	24.5 	20.4 	158.7 	0.3 	0.0 	70.2 
31162	õtö±§|	§|	118.0 	153.0 	0.0 	260.7 	496.1 	15.2 	132.5 	0.2 	0.0 	31.9 
31184	°p§|¤f	§|	253.0 	417.7 	0.0 	178.1 	14510.1 	15.3 	278.5 	0.3 	0.0 	53.7 
31190	¤j²`§|	§|	19.0 	15.4 	0.0 	179.1 	1262.8 	2.4 	19.8 	0.0 	0.0 	7.9 
31193	ªø¥ú¡]¥Û§|¡^³¡¸¨	§|	59.0 	31.3 	0.0 	387.8 	151.2 	5.1 	52.3 	0.1 	0.0 	21.4 
31194	°p§|¤f	§|	253.0 	421.5 	0.0 	186.5 	13786.5 	15.9 	286.2 	0.3 	0.0 	57.5 
31200	íB¥J§|	§|	80.0 	94.6 	0.0 	169.8 	668.3 	9.0 	110.2 	0.1 	0.0 	16.0 
31218	§|¤º	§|	158.0 	110.0 	0.0 	216.6 	109.9 	17.2 	144.3 	0.3 	0.0 	40.6 
31305	¤j²`§|	§|	19.0 	15.4 	0.0 	179.1 	1262.8 	2.4 	19.8 	0.0 	0.0 	7.9 
31311	¤j°ª§|	§|	234.0 	168.6 	407.9 	832.1 	14.0 	24.1 	225.9 	0.4 	35.0 	131.1 
